QueryID,query,Table id,rank,early_fusion,table
1,Q0,table-0125-805,1.0,0.5867681243859192,smarttable
1,Q0,table-0389-400,2.0,0.5853569780281097,smarttable
1,Q0,table-0914-103,3.0,0.5731063176615341,smarttable
1,Q0,table-0730-168,4.0,0.5505963947237615,smarttable
1,Q0,table-0875-680,5.0,0.5496621354714513,smarttable
1,Q0,table-0037-411,6.0,0.5348333560627908,smarttable
1,Q0,table-0168-741,7.0,0.522360578384144,smarttable
1,Q0,table-1000-57,8.0,0.5033891396860551,smarttable
1,Q0,table-0216-970,9.0,0.49453630061561843,smarttable
1,Q0,table-0216-976,10.0,0.4801053953739759,smarttable
1,Q0,table-0370-614,11.0,0.475584568592586,smarttable
1,Q0,table-0904-852,12.0,0.475420281186104,smarttable
1,Q0,table-1402-139,13.0,0.47490052856221326,smarttable
1,Q0,table-1020-619,14.0,0.45296228225345087,smarttable
1,Q0,table-0914-101,15.0,0.4393852935005779,smarttable
1,Q0,table-0288-531,16.0,0.4157005638433987,smarttable
1,Q0,table-0288-530,17.0,0.41564544480292587,smarttable
1,Q0,table-0781-227,18.0,0.41365634616000413,smarttable
1,Q0,table-0998-240,19.0,0.4123483743587964,smarttable
1,Q0,table-1042-895,20.0,0.41052171008116206,smarttable
1,Q0,table-0377-686,21.0,0.39290485039709167,smarttable
1,Q0,table-0063-827,22.0,0.3919299138662905,smarttable
1,Q0,table-1462-893,23.0,0.37330401807096064,smarttable
1,Q0,table-1203-836,24.0,0.3632713736229176,smarttable
1,Q0,table-1203-868,25.0,0.3632713736229176,smarttable
1,Q0,table-0998-43,26.0,0.3508953641983332,smarttable
1,Q0,table-0533-191,27.0,0.33439466593384976,smarttable
1,Q0,table-0554-923,28.0,0.31958394351665953,smarttable
1,Q0,table-0507-876,29.0,0.3144393372593683,smarttable
1,Q0,table-0707-517,30.0,0.31028384496476774,smarttable
1,Q0,table-0552-511,31.0,0.30316239517042914,smarttable
1,Q0,table-1248-402,32.0,0.2972195141530472,smarttable
1,Q0,table-1423-774,33.0,0.2845212849556561,smarttable
1,Q0,table-1391-8,34.0,0.28358815695781353,smarttable
1,Q0,table-0998-242,35.0,0.2719575946355231,smarttable
1,Q0,table-1260-774,36.0,0.2631432618196749,smarttable
1,Q0,table-0839-987,37.0,0.26104384929388474,smarttable
1,Q0,table-0997-806,38.0,0.25308784874922075,smarttable
1,Q0,table-0189-66,39.0,0.23834098089024283,smarttable
1,Q0,table-0255-236,40.0,0.23123570513318317,smarttable
1,Q0,table-0060-37,41.0,0.20766873788408352,smarttable
1,Q0,table-1071-345,42.0,0.20479174819334284,smarttable
1,Q0,table-0552-510,43.0,0.19973669024339483,smarttable
1,Q0,table-0823-471,44.0,0.1974295834642687,smarttable
1,Q0,table-1049-725,45.0,0.1974295834642687,smarttable
1,Q0,table-1049-763,46.0,0.19571604402152015,smarttable
1,Q0,table-1049-749,47.0,0.18861687839475952,smarttable
1,Q0,table-0354-778,48.0,0.18673898948555667,smarttable
1,Q0,table-1049-723,49.0,0.1855306858886792,smarttable
1,Q0,table-1049-718,50.0,0.17563060612017542,smarttable
1,Q0,table-0424-979,51.0,0.17191974258635556,smarttable
1,Q0,table-0464-505,52.0,0.16384672339917608,smarttable
1,Q0,table-1318-690,53.0,0.14322942150649592,smarttable
1,Q0,table-0031-203,54.0,0.13773635720757862,smarttable
1,Q0,table-0165-510,55.0,0.13317736704696845,smarttable
1,Q0,table-1266-875,56.0,0.1297079102795759,smarttable
1,Q0,table-1138-576,57.0,0.1297079102795759,smarttable
1,Q0,table-1470-745,58.0,0.11116279197154771,smarttable
1,Q0,table-0749-810,59.0,0.10390901955692354,smarttable
1,Q0,table-1452-662,60.0,0.029985056820807456,smarttable
2,Q0,table-0552-593,1.0,1e-06,smarttable
2,Q0,table-0092-846,2.0,1e-06,smarttable
2,Q0,table-0620-231,3.0,1e-06,smarttable
2,Q0,table-0876-75,4.0,1e-06,smarttable
2,Q0,table-1621-634,5.0,1e-06,smarttable
2,Q0,table-0899-793,6.0,1e-06,smarttable
2,Q0,table-1564-439,7.0,1e-06,smarttable
2,Q0,table-1552-729,8.0,1e-06,smarttable
2,Q0,table-1047-143,9.0,1e-06,smarttable
2,Q0,table-1047-58,10.0,1e-06,smarttable
2,Q0,table-1047-153,11.0,1e-06,smarttable
2,Q0,table-1047-140,12.0,1e-06,smarttable
2,Q0,table-0396-317,13.0,1e-06,smarttable
2,Q0,table-0396-315,14.0,1e-06,smarttable
2,Q0,table-0396-314,15.0,1e-06,smarttable
2,Q0,table-0396-316,16.0,1e-06,smarttable
2,Q0,table-0379-471,17.0,1e-06,smarttable
2,Q0,table-1600-861,18.0,1e-06,smarttable
2,Q0,table-0562-150,19.0,1e-06,smarttable
2,Q0,table-0915-390,20.0,1e-06,smarttable
2,Q0,table-0391-82,21.0,1e-06,smarttable
2,Q0,table-0391-689,22.0,1e-06,smarttable
2,Q0,table-0938-969,23.0,1e-06,smarttable
2,Q0,table-0938-613,24.0,1e-06,smarttable
2,Q0,table-0938-612,25.0,1e-06,smarttable
2,Q0,table-1145-440,26.0,1e-06,smarttable
2,Q0,table-1145-422,27.0,1e-06,smarttable
2,Q0,table-0406-134,28.0,1e-06,smarttable
2,Q0,table-1186-590,29.0,1e-06,smarttable
2,Q0,table-0386-945,30.0,1e-06,smarttable
2,Q0,table-1578-197,31.0,1e-06,smarttable
2,Q0,table-1574-263,32.0,1e-06,smarttable
2,Q0,table-1408-871,33.0,1e-06,smarttable
2,Q0,table-1408-870,34.0,1e-06,smarttable
2,Q0,table-1408-869,35.0,1e-06,smarttable
2,Q0,table-1408-874,36.0,1e-06,smarttable
2,Q0,table-0331-42,37.0,1e-06,smarttable
2,Q0,table-0223-179,38.0,1e-06,smarttable
2,Q0,table-0223-565,39.0,1e-06,smarttable
2,Q0,table-0891-125,40.0,1e-06,smarttable
2,Q0,table-1629-769,41.0,1e-06,smarttable
2,Q0,table-0346-14,42.0,1e-06,smarttable
2,Q0,table-0346-771,43.0,1e-06,smarttable
2,Q0,table-0517-363,44.0,1e-06,smarttable
2,Q0,table-0517-237,45.0,1e-06,smarttable
2,Q0,table-0384-730,46.0,1e-06,smarttable
2,Q0,table-1038-905,47.0,1e-06,smarttable
2,Q0,table-0367-57,48.0,1e-06,smarttable
2,Q0,table-0371-307,49.0,1e-06,smarttable
2,Q0,table-0218-15,50.0,1e-06,smarttable
2,Q0,table-0395-845,51.0,1e-06,smarttable
2,Q0,table-1064-384,52.0,1e-06,smarttable
2,Q0,table-1064-402,53.0,1e-06,smarttable
2,Q0,table-1064-451,54.0,1e-06,smarttable
