QueryID,QueryString,Table id,pgTitle,rows,cols,numberofNullsInTable,yrank,qlen,IDFpageTitles,IDFsectionTitle,IDFtableCaption,IDFtableHeading,IDFtableBody,IDFCatchAll,hitsLC,hitsSLC,hitsB,hitsPageTitle,hitsTableCaption,relevanceJudgement,early_fusion
1,world interest rates table,table-0031-203,Cinema of France,32,6,11,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0,0.13773635720757862
1,world interest rates table,table-0037-411,Student loans in the United Kingdom,23,4,23,95,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,2,1,0.5348333560627908
1,world interest rates table,table-0060-37,Timeline of Maltese history,62,3,26,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0,0.20766873788408352
1,world interest rates table,table-0063-827,Corporate tax in the United States,10,2,0,26,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,3,0,3,0,0,0,0.3919299138662905
1,world interest rates table,table-0125-805,Enlargement of the eurozone,7,6,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,2,0.5867681243859192
1,world interest rates table,table-0165-510,"Opinion polling for the United Kingdom general election, 2010",118,8,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,2,0,0,0,0,0.13317736704696845
1,world interest rates table,table-0168-741,Hyperinflation,6,6,0,42,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,1,0,0.522360578384144
1,world interest rates table,table-0189-66,1986 World Ice Hockey Championships,8,2,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,1,0,0.23834098089024286
1,world interest rates table,table-0216-976,World distribution of wealth,6,11,16,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0,0.4801053953739759
1,world interest rates table,table-0216-970,World distribution of wealth,4,11,16,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0,0.4945363006156184
1,world interest rates table,table-0255-236,International rankings of Iran,66,6,1,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,6,0,6,0,0,1,0.2312357051331832
1,world interest rates table,table-0288-531,Regret (decision theory),3,5,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0,0.4157005638433987
1,world interest rates table,table-0288-530,Regret (decision theory),4,5,1,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0,0.41564544480292587
1,world interest rates table,table-0354-778,Sensitive periods,8,2,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,2,0,0,0,0,0.18673898948555667
1,world interest rates table,table-0370-614,Eurozone,43,4,2,89,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,3,0,3,0,1,2,0.475584568592586
1,world interest rates table,table-0377-686,"Bateshwar, Uttar Pradesh",1,1,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0,0.3929048503970917
1,world interest rates table,table-0389-400,Euro convergence criteria,7,6,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,2,0.5853569780281097
1,world interest rates table,table-0424-979,Impeachment (Norway),8,4,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0,0.17191974258635556
1,world interest rates table,table-0464-505,Federal Reserve Economic Data,93,5,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0,0.16384672339917608
1,world interest rates table,table-0507-876,2011 Rugby World Cup,2,2,2,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0,0.3144393372593683
1,world interest rates table,table-0533-191,Italy at the Rugby World Cup,2,2,2,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0,0.33439466593384976
1,world interest rates table,table-0552-510,Single deposit,1,4,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,1,0.19973669024339485
1,world interest rates table,table-0552-511,Single deposit,1,3,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0,0.30316239517042914
1,world interest rates table,table-0554-923,Cost of delay,1,2,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0,0.31958394351665953
