1,Q0,table-0125-805,1.0,1.739,smarttable
1,Q0,table-0389-400,2.0,1.732,smarttable
1,Q0,table-0370-614,3.0,1.459,smarttable
1,Q0,table-0037-411,4.0,0.851,smarttable
1,Q0,table-0914-101,5.0,0.791,smarttable
2,Q0,table-1408-871,1.0,1.893,smarttable
2,Q0,table-1408-869,2.0,1.879,smarttable
2,Q0,table-1408-870,3.0,1.772,smarttable
2,Q0,table-1578-197,4.0,1.5288809523809523,smarttable
2,Q0,table-1408-874,5.0,1.16,smarttable
3,Q0,table-1275-187,1.0,1.415,smarttable
3,Q0,table-1254-979,2.0,1.372,smarttable
3,Q0,table-0005-924,3.0,1.0,smarttable
3,Q0,table-0005-923,4.0,0.998,smarttable
3,Q0,table-0005-922,5.0,0.998,smarttable
4,Q0,table-1417-142,1.0,2.0,smarttable
4,Q0,table-1417-134,2.0,1.997,smarttable
4,Q0,table-1511-78,3.0,1.997,smarttable
4,Q0,table-1511-79,4.0,1.997,smarttable
4,Q0,table-1511-82,5.0,1.994,smarttable
5,Q0,table-0452-375,1.0,1.584,smarttable
5,Q0,table-1530-281,2.0,1.367,smarttable
5,Q0,table-0600-606,3.0,0.966,smarttable
5,Q0,table-0600-605,4.0,0.966,smarttable
5,Q0,table-0600-604,5.0,0.966,smarttable
6,Q0,table-1280-419,1.0,0.947,smarttable
6,Q0,table-1421-346,2.0,0.938,smarttable
6,Q0,table-0364-358,3.0,0.936,smarttable
6,Q0,table-1488-888,4.0,0.921,smarttable
6,Q0,table-1495-660,5.0,0.866,smarttable
7,Q0,table-0406-281,1.0,1.293,smarttable
7,Q0,table-0519-449,2.0,0.102,smarttable
7,Q0,table-1219-416,3.0,0.092,smarttable
7,Q0,table-0592-701,4.0,0.089,smarttable
7,Q0,table-1344-229,5.0,0.085,smarttable
8,Q0,table-0145-207,1.0,1.705,smarttable
8,Q0,table-1610-48,2.0,1.521,smarttable
8,Q0,table-0176-187,3.0,1.108,smarttable
8,Q0,table-1389-263,4.0,0.929,smarttable
8,Q0,table-1358-28,5.0,0.913,smarttable
9,Q0,table-1619-336,1.0,1.806,smarttable
9,Q0,table-1619-337,2.0,1.771,smarttable
9,Q0,table-0601-201,3.0,1.758,smarttable
9,Q0,table-0601-200,4.0,1.704,smarttable
9,Q0,table-0600-579,5.0,1.635,smarttable
10,Q0,table-1384-649,1.0,1.726,smarttable
10,Q0,table-1384-651,2.0,1.724,smarttable
